PROVINCIA,PARTIDO,HAB_2001,HAB_2010,VAR_2001-2010,VAR_PORCENTUAL
Mendoza,General Alvear,44.147,46.429,2.282,"5,2"
Corrientes,Bella Vista,35.350,37.181,1.831,"5,2"
Provincia de Buenos Aires.,Saavedra,19.715,20.749,1.034,"5,2"
Formosa,Laishi,16.227,17.063,836,"5,2"
Santiago del Estero,Salavina,10.664,11.217,553,"5,2"
San Juan,Valle Fértil,6.864,7.222,358,"5,2"
Entre Rios,Diamante,44.095,46.361,2.266,"5,1"
Santiago del Estero,Pellegrini,19.517,20.514,997,"5,1"
Provincia de Buenos Aires.,Adolfo Alsina,16.245,17.072,827,"5,1"
Provincia de Buenos Aires.,Rauch,14.434,15.176,742,"5,1"
Provincia de Buenos Aires.,Guaminí,11.257,11.826,569,"5,1"
Corrientes,Paso de los Libres,46.326,48.642,2.316,"5,0"
Formosa,Pilagás,17.523,18.399,876,"5,0"
Provincia de Buenos Aires.,Carmen de Areco,13.992,14.692,700,"5,0"
Entre Rios,Islas del Ibicuy,11.498,12.077,579,"5,0"
San Juan,Calingasta,8.176,8.588,412,"5,0"
Catamarca,El Alto,3.400,3.570,170,"5,0"
Mendoza,Godoy Cruz,182.977,191.903,8.926,"4,9"
Santa Fe,General López,182.113,191.024,8.911,"4,9"
Misiones,San Ignacio,55.038,57.728,2.690,"4,9"
Entre Rios,Victoria,34.097,35.767,1.670,"4,9"
Santa Fe,Garay,19.913,20.890,977,"4,9"
Santiago del Estero,Ojo de Agua,13.352,14.008,656,"4,9"
Cordoba,Río Seco,12.635,13.242,607,"4,8"
Cordoba,Pocho,5.132,5.380,248,"4,8"
Santa Fe,Constitución,83.045,86.910,3.865,"4,7"
Cordoba,Presidente Roque Sáenz Peña,34.647,36.282,1.635,"4,7"
Chaco,O'Higgins,19.231,20.131,900,"4,7"
San Luis,Coronel Pringles,12.571,13.157,586,"4,7"
Mendoza,La Paz,9.560,10.012,452,"4,7"
Santa Fe,San Jerónimo,77.253,80.840,3.587,"4,6"
Cordoba,Marcos Juárez,99.761,104.205,4.444,"4,5"
Jujuy,Cochinoca,12.111,12.656,545,"4,5"
Corrientes,Itatí,8.774,9.171,397,"4,5"
Provincia de Buenos Aires.,Castelli,7.852,8.205,353,"4,5"
Chubut,Tehuelches,5.159,5.390,231,"4,5"
Jujuy,Susques,3.628,3.791,163,"4,5"
Provincia de Buenos Aires.,Necochea,89.096,92.933,3.837,"4,3"
Provincia de Buenos Aires.,Lomas de Zamora,591.345,616.279,24.934,"4,2"
Provincia de Buenos Aires.,Avellaneda,328.980,342.677,13.697,"4,2"
Provincia de Buenos Aires.,Balcarce,42.039,43.823,1.784,"4,2"
Santiago del Estero,Mitre,1.813,1.890,77,"4,2"
,Ciudad Autónoma de Buenos Aires,2.776.138,2.890.151,114.013,"4,1"
Provincia de Buenos Aires.,Coronel Suárez,36.828,38.320,1.492,"4,1"
Chaco,25 de Mayo,28.070,29.215,1.145,"4,1"
Provincia de Buenos Aires.,Benito Juárez,19.443,20.239,796,"4,1"
Tucuman,Capital,527.607,548.866,21.259,"4,0"
Cordoba,Ischilín,30.105,31.312,1.207,"4,0"
Salta,La Viña,7.152,7.435,283,"4,0"
Santiago del Estero,General Taboada,36.683,38.105,1.422,"3,9"
Provincia de Buenos Aires.,Morón,309.380,321.109,11.729,"3,8"
Santa Fe,Caseros,79.096,82.100,3.004,"3,8"
Cordoba,Tulumba,12.211,12.673,462,"3,8"
Provincia de Buenos Aires.,9 de Julio,45.998,47.722,1.724,"3,7"
Corrientes,Mercedes,39.206,40.667,1.461,"3,7"
Tucuman,Graneros,13.063,13.551,488,"3,7"
Mendoza,Capital,110.993,115.041,4.048,"3,6"
Provincia de Buenos Aires.,Azul,62.996,65.280,2.284,"3,6"
Provincia de Buenos Aires.,Pehuajó,38.400,39.776,1.376,"3,6"
Corrientes,Saladas,21.470,22.244,774,"3,6"
Jujuy,Santa Bárbara,17.115,17.730,615,"3,6"
Jujuy,Humahuaca,16.765,17.366,601,"3,6"
Cordoba,Capital,1.284.582,1.329.604,45.022,"3,5"
Santa Fe,San Javier,29.912,30.959,1.047,"3,5"
Salta,Rosario de la Frontera,28.013,28.993,980,"3,5"
Chaco,Bermejo,24.215,25.052,837,"3,5"
Mendoza,Santa Rosa,15.818,16.374,556,"3,5"
Salta,Metán,39.006,40.351,1.345,"3,4"
San Juan,Jáchal,21.018,21.730,712,"3,4"
Provincia de Buenos Aires.,Ayacucho,19.669,20.337,668,"3,4"
Entre Rios,Feliciano,14.584,15.079,495,"3,4"
Provincia de Buenos Aires.,San Cayetano,8.119,8.399,280,"3,4"
Tucuman,Simoca,29.932,30.876,944,"3,2"
Entre Rios,Federal,25.055,25.863,808,"3,2"
Chaco,San Lorenzo,14.252,14.702,450,"3,2"
Corrientes,San Miguel,10.252,10.572,320,"3,1"
Neuquen,Collón Curá,4.395,4.532,137,"3,1"
Corrientes,Goya,87.349,89.959,2.610,"3,0"
Provincia de Buenos Aires.,Lobería,17.008,17.523,515,"3,0"
Chaco,Mayor Luis J. Fontana,53.550,55.080,1.530,"2,9"
La Rioja,General Belgrano,7.161,7.370,209,"2,9"
Provincia de Buenos Aires.,General San Martín,403.107,414.196,11.089,"2,8"
Provincia de Buenos Aires.,25 de Mayo,34.877,35.842,965,"2,8"
Santiago del Estero,Choya,33.720,34.667,947,"2,8"
Provincia de Buenos Aires.,Bragado,40.259,41.336,1.077,"2,7"
Provincia de Buenos Aires.,Leandro N. Alem,16.358,16.799,441,"2,7"
Provincia de Buenos Aires.,Alberti,10.373,10.654,281,"2,7"
Corrientes,Mburucuyá,9.012,9.252,240,"2,7"
Santiago del Estero,Guasayán,7.404,7.602,198,"2,7"
San Luis,Belgrano,3.881,3.985,104,"2,7"
Jujuy,Valle Grande,2.386,2.451,65,"2,7"
